PAPEL	SEGMENTO	COTAÇÃO	FFO YIELD	DIVIDEND YIELD	P/VP	VALOR DE MERCADO	LIQUIDEZ	QTD DE IMÓVEIS	PREÇO DO M2	ALUGUEL POR M2	CAP RATE	VACÂNCIA MÉDIA
BLMO11	Lajes Corporativas	70,70	7,26%	7,55%	0,67	70.333.400	11.102	1	8.422,65	822,65	9,77%	0,00%	""
BLMR11	Títulos e Val. Mob.	6,78	10,17%	0,00%	0,84	173.172.000	0	0	0,00	0,00	0,00%	0,00%	""
BLOG11	Títulos e Val. Mob.	11,90	1,08%	1,27%	0,90	280.388.000	17.533	0	0,00	0,00	1,70%	0,00%	""
BLUR11	Títulos e Val. Mob.	75,00	7,45%	11,09%	0,93	6.750.000	1.075	0	0,00	0,00	0,00%	0,00%	""
BMLC11	Híbrido	97,94	9,24%	8,48%	0,93	97.783.800	134.919	1	16.230,20	1.448,57	8,93%	2,14%	""
BNFS11	Outros	71,71	23,04%	21,69%	0,86	50.197.000	121.423	18	4.632,87	1.252,77	27,04%	0,22%	""
BPFF11	Outros	51,50	20,34%	14,15%	0,76	231.355.000	336.989	0	0,00	0,00	0,00%	0,00%	""
BPML11	Híbrido	72,87	2,75%	16,94%	0,58	542.280.000	942.310	4	4.211,67	730,58	17,35%	7,56%	""
BPRP11	Outros	107,50	10,56%	6,82%	0,86	145.107.000	0	1	6.230,68	692,07	11,11%	0,00%	""
BRCO11	Logística	95,00	8,40%	6,10%	0,80	1.510.990.000	3.804.120	12	2.952,39	313,37	10,61%	5,95%	""
BRCR11	Híbrido	39,79	0,26%	14,27%	0,46	1.059.930.000	1.483.420	6	9.469,55	1.587,88	16,77%	4,71%	""
BREV11	Híbrido	105,00	6,59%	0,00%	0,00	101.556.000	0	13	0,00	1.437,55	0,00%	0,00%	""
BRIM11	Residencial	790,00	0,12%	23,61%	1,10	98.068.200	23.399	1	121.561,00	0,00	0,00%	0,00%	""
BRIP11	Híbrido	935,00	-3,46%	36,72%	1,12	201.469.000	31.395	0	0,00	0,00	0,00%	0,00%	""
BRLA11	Outros	148,00	6,84%	6,08%	0,90	724.795.000	0	8	1.690,24	119,44	7,07%	0,00%	""
BROF11	Híbrido	45,92	13,79%	11,47%	0,42	533.168.000	378.490	2	5.775,02	1.006,75	17,43%	4,60%	""
BTAL11	Outros	68,30	21,07%	13,76%	0,62	408.621.000	538.119	9	1.191,42	175,70	14,75%	0,00%	""
BTCI11	Títulos e Val. Mob.	8,38	13,01%	13,05%	0,85	833.987.000	1.770.400	0	0,00	0,00	0,00%	0,00%	""
BTCR11	Títulos e Val. Mob.	88,00	12,48%	0,00%	0,92	423.289.000	0	0	0,00	0,00	0,00%	0,00%	""
BTHF11	Híbrido	7,00	4,05%	2,74%	0,71	1.440.930.000	5.772.720	0	0,00	0,00	0,00%	0,00%	""
BTHI11	Hotel	39,92	9,11%	10,06%	0,58	368.003.000	38.398	14	6.480,05	673,96	10,40%	0,00%	""
BTLG11	Híbrido	93,70	6,73%	9,87%	0,91	4.052.450.000	9.288.650	19	5.558,88	270,01	4,86%	2,46%	""
BTML11	Híbrido	111,28	10,15%	10,49%	0,96	126.321.000	0	2	22.394,70	2.369,56	10,58%	9,70%	""
BTRA11	Outros	43,80	34,19%	8,62%	0,40	147.368.000	483.675	6	1,41	0,15	10,37%	5,76%	""
BTSG11	Logística	159,05	10,43%	7,15%	1,05	123.266.000	0	1	6.536,19	740,79	11,33%	0,00%	""
BTSI11	Híbrido	111,60	5,04%	7,98%	0,94	545.609.000	0	3	2.552,33	152,35	5,97%	0,00%	""
BTWR11	Lajes Corporativas	105,49	6,87%	6,90%	0,93	85.369.900	17.331	1	4.273,76	432,53	10,12%	8,00%	""
BTYU11	Híbrido	10,15	2,59%	4,84%	0,98	203.000.000	16.644	0	0,00	0,00	0,00%	0,00%	""
BVAR11	Outros	1.442,50	5,35%	5,96%	1,77	902.341.000	35	47	8.826,10	513,37	5,82%	23,15%	""
CACR11	Híbrido	82,40	13,68%	19,32%	0,87	398.513.000	1.780.830	0	0,00	0,00	0,00%	0,00%	""
CARE11	Híbrido	1,25	-12,28%	0,00%	0,18	44.712.400	164.253	1	0,00	0,00	0,00%	0,00%	""
CBOP11	Lajes Corporativas	24,49	6,23%	3,08%	0,34	34.653.400	4.855	1	2.127,01	328,43	15,44%	53,40%	""
CCME11	Outros	7,58	10,63%	13,05%	0,75	513.902.000	439.173	2	4.962,27	457,18	9,21%	4,63%	""
CCRF11	Títulos e Val. Mob.	92,50	7,16%	0,00%	0,95	145.401.000	0	0	0,00	0,00	0,00%	0,00%	""
CCVA11	Híbrido	100,07	1,53%	0,00%	0,99	61.793.200	0	1	2.128,65	33,55	1,58%	4,20%	""
CEOC11	Lajes Corporativas	38,20	13,56%	13,64%	0,53	69.359.600	30.311	1	4.412,40	710,83	16,11%	0,00%	""
CFHI11	Outros	626,20	28,62%	13,59%	0,99	59.238.500	31	10	4.302,20	0,00	0,00%	0,00%	""
CFII11	Híbrido	1.000,00	-0,07%	12,96%	0,82	126.319.000	0	7	12.497,60	356,71	2,85%	0,00%	""
CJCT11	Lajes Corporativas	53,99	3,08%	2,57%	0,74	169.529.000	8.434	1	8.761,25	574,62	6,56%	48,90%	""
