PAPEL	SEGMENTO	COTAÇÃO	FFO YIELD	DIVIDEND YIELD	P/VP	VALOR DE MERCADO	LIQUIDEZ	QTD DE IMÓVEIS	PREÇO DO M2	ALUGUEL POR M2	CAP RATE	VACÂNCIA MÉDIA
HGPO11	Lajes Corporativas	128,00	14,28%	3,36%	0,37	224.391.000	464.907	2	17.580,70	2.781,84	15,82%	3,42%	""
HGRE11	Lajes Corporativas	94,63	7,53%	6,23%	0,62	1.118.320.000	1.487.080	16	5.988,71	668,85	11,17%	26,34%	""
HGRU11	Híbrido	111,71	8,56%	5,35%	0,89	2.056.190.000	5.639.200	68	4.007,12	421,21	10,51%	0,97%	""
HILG11	Outros	198,61	8,40%	4,83%	0,96	104.519.000	0	1	3.144,36	328,57	10,45%	0,00%	""
HLOG11	Logística	80,00	6,98%	6,72%	0,72	340.000.000	229.262	4	1.838,37	198,49	10,80%	0,00%	""
HMOC11	Shoppings	226,95	2,17%	0,00%	0,95	86.698.800	0	0	0,00	0,00	3,27%	0,00%	""
HOFC11	Lajes Corporativas	24,50	3,35%	1,70%	0,38	92.585.500	478.470	4	2.194,48	432,60	19,71%	52,71%	""
HOSI11	Híbrido	83,98	10,12%	9,40%	0,92	48.158.300	116.621	2	0,00	0,00	0,00%	0,00%	""
HPDP11	Shoppings	88,00	7,02%	7,25%	0,94	289.344.000	2.810	1	2.121,05	160,21	7,55%	1,47%	""
HRDF11	Híbrido	3,00	1,85%	0,00%	0,39	4.552.280	7.353	0	0,00	0,00	0,00%	0,00%	""
HREC11	Títulos e Val. Mob.	7,63	12,56%	12,58%	0,90	394.364.000	245.398	0	0,00	0,00	0,00%	0,00%	""
HRES11	Híbrido	149,25	12,86%	10,73%	1,21	69.885.100	0	0	0,00	0,00	0,00%	0,00%	""
HSAF11	Títulos e Val. Mob.	69,60	15,89%	15,61%	0,80	175.835.000	529.940	0	0,00	0,00	0,00%	0,00%	""
HSLG11	Logística	69,00	12,88%	12,62%	0,66	873.545.000	621.987	5	2.121,49	278,30	13,12%	0,00%	""
HSML11	Shoppings	72,30	9,27%	12,95%	0,66	1.504.460.000	4.158.390	8	6.669,58	872,73	13,09%	4,01%	""
HSRE11	Híbrido	101,54	6,87%	9,99%	1,12	903.576.000	3.407.950	24	7.345,09	632,41	8,61%	0,00%	""
HTMX11	Hotel	154,00	2,46%	16,36%	1,02	444.766.000	1.470.990	21	4.420,97	467,99	10,59%	0,00%	""
HUCG11	Logística	109,99	0,18%	0,00%	1,07	123.409.000	2.140	2	4.258,43	0,00	0,00%	0,00%	""
HUSC11	Outros	92,30	11,90%	11,34%	0,61	78.530.800	5.659	1	1.055,07	153,42	14,54%	0,00%	""
HUSI11	Hospital	1.000,00	10,07%	9,82%	0,80	116.362.000	242	1	5.695,83	619,16	10,87%	0,00%	""
IAAG11	Títulos e Val. Mob.	7,51	10,41%	15,73%	0,78	78.510.900	118.913	0	0,00	0,00	0,00%	0,00%	""
IAGR11	Outros	3,16	0,68%	5,98%	0,49	8.841.490	14.653	0	0,00	0,00	0,00%	0,00%	""
IBCR11	Títulos e Val. Mob.	53,95	12,95%	18,71%	0,60	51.706.900	114.403	0	0,00	0,00	0,00%	0,00%	""
IBFF11	Títulos e Val. Mob.	66,40	8,28%	0,00%	0,93	44.267.600	0	0	0,00	0,00	0,00%	0,00%	""
ICRI11	Títulos e Val. Mob.	77,15	10,60%	16,02%	0,79	297.595.000	1.432.640	0	0,00	0,00	0,00%	0,00%	""
IDFI11	Títulos e Val. Mob.	2,00	16,41%	408,69%	0,46	4.115.850	0	2	0,00	0,00	0,00%	0,00%	""
IDGR11	Híbrido	1,50	-15,05%	409,12%	16,70	1.325.040	294	0	0,00	0,00	0,00%	0,00%	""
IFID11	Títulos e Val. Mob.	80,06	12,99%	0,00%	1,20	59.897.000	0	0	0,00	0,00	0,00%	0,00%	""
IFIE11	Títulos e Val. Mob.	71,98	15,37%	0,00%	1,00	64.817.600	0	0	0,00	0,00	0,00%	0,00%	""
INLG11	Logística	67,80	13,77%	5,75%	0,67	305.921.000	301.805	5	2.525,59	375,13	14,85%	0,84%	""
INRD11	Residencial	64,89	15,53%	4,58%	0,55	73.371.500	196.375	5	2.791,92	608,70	21,80%	5,17%	""
IRDM11	Títulos e Val. Mob.	61,89	15,17%	14,86%	0,77	2.254.890.000	3.177.060	0	0,00	0,00	0,00%	0,00%	""
IRIM11	Híbrido	62,00	16,14%	15,90%	0,75	119.040.000	104.806	0	0,00	0,00	0,00%	0,00%	""
ISCJ11	Títulos e Val. Mob.	99,18	5,43%	3,62%	0,72	31.139.500	5	0	0,00	0,00	0,00%	0,00%	""
ITIP11	Títulos e Val. Mob.	64,43	16,14%	12,82%	0,96	48.203.400	65.165	0	0,00	0,00	0,00%	0,00%	""
ITIT11	Títulos e Val. Mob.	64,60	17,13%	11,23%	0,90	58.171.900	85.092	0	0,00	0,00	0,00%	0,00%	""
ITRI11	Híbrido	65,00	10,75%	11,85%	0,75	406.250.000	1.871.070	0	0,00	0,00	0,00%	0,00%	""
JASC11	Híbrido	93,03	7,16%	7,75%	0,83	324.613.000	148.114	16	3.190,70	304,15	9,53%	0,00%	""
JBFO11	Títulos e Val. Mob.	82,01	9,02%	1,81%	1,04	104.897.000	0	0	0,00	0,00	0,00%	0,00%	""
JCCJ11	Títulos e Val. Mob.	154,00	3,27%	3,33%	0,86	256.950.000	2.339.510	0	0,00	0,00	0,00%	0,00%	""
JCIN11	Títulos e Val. Mob.	150,00	4,62%	2,84%	1,01	197.658.000	7.243.540	0	0,00	0,00	0,00%	0,00%	""
JFLL11	Residencial	69,02	15,08%	10,34%	0,64	103.571.000	283.232	2	7.031,62	1.276,89	18,16%	9,00%	""
JGPX11	Híbrido	50,00	25,43%	21,91%	0,54	107.062.000	269.897	0	0,00	0,00	0,00%	0,00%	""
JPPA11	Híbrido	73,33	17,13%	16,84%	0,77	66.294.000	99.809	0	0,00	0,00	0,00%	0,00%	""
JPPC11	Híbrido	200,00	-4,02%	22,14%	0,67	11.000.000	106	0	0,00	0,00	0,00%	0,00%	""
JRDM11	Shoppings	85,90	7,97%	0,00%	0,96	216.723.000	0	1	7.394,68	671,49	9,08%	1,19%	""
JSAF11	Títulos e Val. Mob.	6,42	9,44%	17,62%	0,76	497.700.000	1.780.900	0	0,00	0,00	0,00%	0,00%	""
JSCR11	Títulos e Val. Mob.	6,95	0,00%	1,12%	0,07	15.385.300	786.516	0	0,00	0,00	0,00%	0,00%	""
JSRE11	Híbrido	51,28	10,57%	11,11%	0,50	1.064.950.000	1.849.840	6	9.128,12	1.113,81	12,20%	7,05%	""
KCRE11	Títulos e Val. Mob.	7,75	15,35%	14,50%	0,84	279.000.000	650.599	0	0,00	0,00	0,00%	0,00%	""
KDOL11	Títulos e Val. Mob.	97,98	0,03%	1,95%	0,86	65.742.800	302.634	0	0,00	0,00	0,00%	0,00%	""
KEVE11	Residencial	860,00	0,28%	1,09%	1,25	127.023.000	37.134	1	0,00	0,00	0,00%	0,00%	""
KFOF11	Títulos e Val. Mob.	65,70	9,40%	7,82%	0,72	460.857.000	1.670.370	0	0,00	0,00	0,00%	0,00%	""
KINP11	Residencial	9,82	0,00%	0,00%	0,00	0	0	1	0,00	0,00	0,00%	0,00%	""
KISU11	Títulos e Val. Mob.	6,69	12,25%	12,63%	0,88	295.672.000	590.062	0	0,00	0,00	0,00%	0,00%	""
KIVO11	Títulos e Val. Mob.	56,99	18,95%	20,03%	0,65	126.674.000	927.709	0	0,00	0,00	0,00%	0,00%	""
KNCA11	Títulos e Val. Mob.	83,60	13,73%	14,90%	0,82	1.805.750.000	4.866.420	0	0,00	0,00	0,00%	0,00%	""
KNCR11	Títulos e Val. Mob.	100,19	8,80%	11,63%	0,99	7.664.150.000	17.022.900	0	0,00	0,00	0,00%	0,00%	""
KNHF11	Híbrido	75,06	9,23%	7,83%	0,76	1.475.920.000	4.830.690	2	18.743,90	312,25	1,67%	0,00%	""
KNHY11	Títulos e Val. Mob.	92,35	8,29%	14,07%	0,94	2.601.450.000	5.017.020	0	0,00	0,00	0,00%	0,00%	""
KNIP11	Títulos e Val. Mob.	84,20	14,73%	12,49%	0,93	6.742.580.000	9.656.430	0	0,00	0,00	0,00%	0,00%	""
KNRE11	Residencial	0,19	-52,82%	0,00%	0,23	3.523.960	3.146	0	0,00	0,00	0,00%	0,00%	""
KNRI11	Híbrido	130,69	7,73%	9,12%	0,81	3.685.990.000	5.784.240	20	4.587,19	352,22	7,68%	0,13%	""
KNSC11	Títulos e Val. Mob.	8,11	5,85%	12,80%	0,93	1.639.860.000	6.263.510	0	0,00	0,00	0,00%	0,00%	""
KNUQ11	Títulos e Val. Mob.	100,02	7,05%	12,65%	0,99	1.531.560.000	5.204.410	0	0,00	0,00	0,00%	0,00%	""
KOPA11	Títulos e Val. Mob.	825,00	10,28%	16,53%	0,82	292.609.000	578.557	0	0,00	0,00	0,00%	0,00%	""
KORE11	Títulos e Val. Mob.	71,75	11,44%	11,19%	0,68	690.594.000	2.582.750	4	11.070,00	855,02	7,72%	1,72%	""
LAFI11	Híbrido	110,51	6,29%	7,73%	1,02	62.741.200	20.396	1	8,97	0,62	6,90%	0,00%	""
LASC11	Shoppings	111,48	3,17%	6,44%	0,78	327.784.000	1.328.280	2	15.640,50	1.364,23	8,72%	2,64%	""
LATR11B	Residencial	9,51	-16,36%	0,00%	0,90	1.180.230	0	0	0,00	0,00	0,00%	0,00%	""
LFTT11	Residencial	7,99	-32,45%	0,00%	0,42	26.087.400	16.221	76	3.468,75	1,38	0,04%	0,00%	""
LGCP11	Logística	82,95	11,25%	6,06%	0,82	374.279.000	0	5	3.089,94	375,13	12,14%	0,84%	""
LIFE11	Outros	8,54	10,11%	18,34%	0,87	293.508.000	729.931	0	0,00	0,00	0,00%	0,00%	""
LLAO11	Híbrido	64,58	-7,68%	0,00%	1,09	23.322.400	3.938	14	5.761,06	0,00	0,00%	0,00%	""
LOFT11B	Residencial	29,90	-1,62%	0,00%	11,00	58.678.800	0	4	69.906,00	93,59	0,13%	0,00%	""
LPLP11	Residencial	500,00	10,95%	33,55%	1,70	249.255.000	0	0	0,00	0,00	0,00%	0,00%	""
LSAG11	Títulos e Val. Mob.	63,49	18,67%	20,56%	0,65	64.082.600	84.045	0	0,00	0,00	0,00%	0,00%	""
LSPA11	Outros	24,01	175,20%	87,37%	1,15	9.712.040	0	0	0,00	0,00	0,00%	0,00%	""
LTMT11	Residencial	95,68	6,04%	7,99%	1,00	11.956.200	8.357	0	0,00	0,00	0,00%	0,00%	""
LUGG11	Residencial	72,82	13,84%	5,44%	0,62	82.338.000	0	5	3.133,11	608,70	19,43%	5,17%	""
LVBI11	Logística	88,96	10,20%	11,64%	0,72	1.433.910.000	3.816.020	10	2.594,34	305,47	11,77%	0,45%	""
MALL11	Híbrido	91,42	23,96%	10,79%	0,75	1.186.180.000	2.130.810	11	3.526,10	660,40	18,73%	3,64%	""
MANA11	Títulos e Val. Mob.	7,52	5,90%	16,38%	0,83	282.272.000	1.397.600	0	0,00	0,00	0,00%	0,00%	""
MATV11	Títulos e Val. Mob.	86,63	11,42%	0,00%	0,92	36.901.600	0	0	0,00	0,00	0,00%	0,00%	""
MAXR11	Híbrido	58,53	14,02%	34,78%	0,56	65.884.600	56.440	8	1.035,75	140,72	13,59%	23,23%	""
MBRF11	Outros	679,00	5,13%	0,00%	0,98	69.029.900	0	2	3.831,32	128,64	3,36%	81,98%	""
MCCI11	Títulos e Val. Mob.	73,51	12,75%	12,93%	0,83	1.246.730.000	2.377.090	0	0,00	0,00	0,00%	0,00%	""
MCEM11	Títulos e Val. Mob.	109,00	-0,22%	0,00%	1,83	157.490.000	547	0	0,00	0,00	0,00%	0,00%	""
MCHF11	Títulos e Val. Mob.	9,05	11,76%	0,77%	0,87	292.806.000	0	3	0,00	0,00	0,00%	0,00%	""
MCHY11	Títulos e Val. Mob.	8,58	8,86%	11,06%	0,84	957.519.000	0	1	1.428,83	44,58	3,12%	35,85%	""
MCRE11	Títulos e Val. Mob.	7,71	9,86%	3,84%	0,76	860.428.000	4.030.830	1	1.283,95	44,58	3,47%	35,85%	""
MFAI11	Híbrido	69,98	0,00%	4,90%	0,00	0	0	0	0,00	0,00	0,00%	0,00%	""
MFCR11	Híbrido	24,60	0,00%	20,42%	0,00	0	0	0	0,00	0,00	0,00%	0,00%	""
MFII11	Híbrido	73,78	5,64%	19,02%	0,70	384.570.000	1.023.980	4	150,30	0,00	0,00%	0,00%	""
MGCR11	Títulos e Val. Mob.	9,40	11,11%	0,00%	0,96	126.115.000	0	0	0,00	0,00	0,00%	0,00%	""
MGFF11	Títulos e Val. Mob.	69,99	0,00%	0,00%	0,00	0	0	0	0,00	0,00	0,00%	0,00%	""
MGHT11	Híbrido	13,44	33,27%	17,96%	0,27	17.657.300	27.206	1	1.722,48	793,45	46,06%	0,00%	""
MGIM11	Híbrido	101,50	-2,38%	0,00%	1,03	25.101.000	0	0	0,00	0,00	0,00%	0,00%	""
MGLG11	Híbrido	40,99	5,43%	0,00%	0,91	103.703.000	0	6	3.132,38	66,85	2,13%	8,72%	""
MINT11	Outros	96,50	13,23%	15,98%	0,99	50.180.000	0	3	0,00	532,36	0,00%	0,00%	""
MMPD11	Outros	110,61	7,62%	8,06%	1,02	58.678.300	0	0	0,00	0,00	0,00%	0,00%	""
MORC11	Títulos e Val. Mob.	89,87	12,37%	0,37%	0,92	171.455.000	0	0	0,00	0,00	0,00%	0,00%	""
MORE11	Títulos e Val. Mob.	76,21	6,04%	0,00%	0,88	176.740.000	0	0	0,00	0,00	0,00%	0,00%	""
MXRF11	Híbrido	8,99	9,18%	12,76%	1,00	3.931.550.000	15.942.000	3	97.267,70	0,00	0,00%	0,00%	""
NAVT11	Títulos e Val. Mob.	58,90	14,76%	19,95%	0,76	36.063.400	147.367	0	0,00	0,00	0,00%	0,00%	""
NCHB11	Títulos e Val. Mob.	7,33	16,77%	16,55%	0,76	112.013.000	132.625	0	0,00	0,00	0,00%	0,00%	""
NCRA11	Títulos e Val. Mob.	7,02	24,30%	17,22%	0,67	31.308.900	66.293	0	0,00	0,00	0,00%	0,00%	""
NCRI11	Títulos e Val. Mob.	7,87	14,91%	14,55%	0,80	31.086.500	2.153	0	0,00	0,00	0,00%	0,00%	""
NEWL11	Híbrido	89,99	20,18%	12,68%	0,69	253.539.000	788.153	3	2.634,83	487,38	18,50%	0,00%	""
NEWU11	Híbrido	74,90	1,90%	1,35%	1,05	55.575.800	335.106	3	3.965,23	434,94	10,97%	47,02%	""
NEXG11	Outros	127,50	1,13%	7,58%	1,29	89.058.800	191.336	0	0,00	0,00	0,00%	0,00%	""
NPAR11	Outros	12,82	213,32%	0,00%	0,70	1.533.140	0	0	0,00	0,00	0,00%	0,00%	""
NSLU11	Hospital	141,42	13,42%	13,13%	0,68	182.897.000	292.610	1	7.586,84	1.071,48	14,12%	0,00%	""
NVHO11	Hospital	11,15	14,15%	9,08%	0,67	462.664.000	1.614	4	15.044,40	2.192,84	14,58%	0,00%	""
OBAL11	Residencial	1.213,19	-3,79%	18,64%	1,09	171.398.000	0	7	15.009,80	0,00	0,00%	0,00%	""
OCRE11	Títulos e Val. Mob.	90,02	8,07%	9,57%	0,97	38.077.200	11.410	0	0,00	0,00	0,00%	0,00%	""
OGHY11	Títulos e Val. Mob.	8,72	7,32%	0,00%	0,92	23.678.100	0	0	0,00	0,00	0,00%	0,00%	""
OIAG11	Títulos e Val. Mob.	7,32	15,53%	16,04%	0,74	66.121.600	154.017	0	0,00	0,00	0,00%	0,00%	""
ONEF11	Lajes Corporativas	200,03	6,08%	0,00%	1,09	182.227.000	0	0	0,00	0,00	0,00%	0,00%	""
ORPD11	Títulos e Val. Mob.	93,00	0,00%	0,00%	0,65	26.970.000	0	0	0,00	0,00	0,00%	0,00%	""
OUCY11	Híbrido	88,50	0,00%	0,00%	0,00	0	0	8	0,00	161,02	0,00%	0,00%	""
OUFF11	Títulos e Val. Mob.	61,10	0,00%	6,26%	0,00	0	0	0	0,00	0,00	0,00%	0,00%	""
OUJP11	Híbrido	65,81	16,65%	16,40%	0,67	214.039.000	385.017	0	0,00	0,00	0,00%	0,00%	""
OULG11	Logística	35,00	12,30%	2,14%	0,57	86.844.900	402.937	2	1.171,84	206,48	17,62%	0,00%	""
OURE11	Híbrido	78,20	0,00%	7,13%	0,00	0	0	8	0,00	161,02	0,00%	0,00%	""
PATA11	Outros	9,72	1,36%	0,00%	0,98	16.543.500	28.438	0	0,00	0,00	0,00%	0,00%	""
PATC11	Lajes Corporativas	35,89	4,69%	3,66%	0,87	124.805.000	737.335	4	15.985,90	1.087,31	6,80%	0,00%	""
PATL11	Logística	43,25	15,23%	15,85%	0,45	215.884.000	386.265	4	1.388,61	257,96	18,58%	2,73%	""
PDDA11B	Logística	106,50	4,04%	0,00%	1,73	264.257.000	0	2	3.565,74	206,48	5,79%	0,00%	""
PEMA11	Títulos e Val. Mob.	29,02	26,47%	18,17%	0,44	16.019.000	210	0	0,00	0,00	0,00%	0,00%	""
PLCA11	Títulos e Val. Mob.	63,69	27,15%	17,11%	0,68	35.476.500	89.378	0	0,00	0,00	0,00%	0,00%	""
PLCR11	Títulos e Val. Mob.	68,30	20,82%	13,73%	0,76	144.056.000	252.738	0	0,00	0,00	0,00%	0,00%	""
PLOG11	Logística	66,71	15,40%	0,00%	0,62	50.032.500	0	1	697,10	134,42	19,28%	0,00%	""
PLRI11	Títulos e Val. Mob.	13,69	-4,00%	45,06%	0,68	13.064.400	1.797	0	0,00	0,00	0,00%	0,00%	""
PMFO11	Títulos e Val. Mob.	90,22	2,24%	11,31%	1,09	88.046.300	0	0	0,00	0,00	0,00%	0,00%	""
PMIS11	Títulos e Val. Mob.	6,95	10,32%	16,78%	0,77	102.883.000	356.827	0	0,00	0,00	0,00%	0,00%	""
PNCR11	Residencial	68,65	-0,37%	10,91%	1,17	34.325.000	45	1	27.017,40	0,00	0,00%	0,00%	""
PNDL11	Títulos e Val. Mob.	1.149,00	-0,24%	0,00%	1,07	165.837.000	678.420	0	0,00	0,00	0,00%	0,00%	""
PNPR11	Híbrido	56,00	11,51%	2,86%	1,05	50.277.800	387.260	1	4.080,42	480,97	11,79%	0,00%	""
PNRC11	Híbrido	105,95	6,79%	10,63%	1,40	43.450.100	0	3	12.302,80	0,00	0,00%	0,00%	""
PORD11	Títulos e Val. Mob.	7,31	14,06%	14,61%	0,77	272.544.000	619.001	0	0,00	0,00	0,00%	0,00%	""
PQAG11	Logística	54,01	10,37%	10,14%	0,94	755.702.000	240.634	1	11.965,20	1.190,96	9,95%	0,00%	""
PQDP11	Shoppings	2.035,00	15,88%	7,94%	0,61	204.642.000	387.973	1	1.571.590,00	222.212,87	14,14%	1,50%	""
PRSN11	Residencial	1,32	-23,00%	37,99%	0,40	4.265.250	621	2	8.310,09	0,00	0,00%	0,00%	""
PRSV11	Lajes Corporativas	43,50	-30,85%	0,00%	0,28	9.096.720	2.053	1	902,45	0,00	0,00%	100,00%	""
PULV11	Títulos e Val. Mob.	8,24	8,51%	2,15%	0,83	98.882.000	29.757	0	0,00	0,00	0,00%	0,00%	""
PURB11	Híbrido	95,10	11,88%	0,00%	0,82	107.954.000	0	2	19.138,50	2.369,56	12,38%	9,70%	""
PVBI11	Lajes Corporativas	71,19	8,55%	10,18%	0,68	1.931.390.000	4.636.880	7	18.735,80	1.644,78	8,78%	15,73%	""
QAGR11	Outros	41,00	13,01%	12,94%	0,69	206.640.000	650.634	12	1.459,66	215,09	14,74%	0,00%	""
QAMI11	Títulos e Val. Mob.	84,68	24,53%	0,00%	0,91	67.862.400	0	0	0,00	0,00	0,00%	0,00%	""
QIFF11	Títulos e Val. Mob.	97,49	7,63%	0,00%	1,09	14.623.500	0	0	0,00	0,00	0,00%	0,00%	""
QIRI11	Títulos e Val. Mob.	78,04	9,53%	0,00%	0,87	11.706.000	0	0	0,00	0,00	0,00%	0,00%	""
QMFF11	Títulos e Val. Mob.	98,52	7,55%	0,00%	1,10	14.778.000	0	0	0,00	0,00	0,00%	0,00%	""
RBBV11	Títulos e Val. Mob.	100,00	6,51%	0,00%	0,99	125.416.000	0	0	0,00	0,00	0,00%	0,00%	""
RBCO11	Lajes Corporativas	44,00	12,33%	8,39%	0,49	166.276.000	144.616	4	3.812,31	614,84	16,13%	0,00%	""
RBDS11	Residencial	2,70	-56,78%	0,00%	0,15	341.612	307	0	0,00	0,00	0,00%	0,00%	""
RBED11	Outros	93,90	16,84%	22,61%	0,84	221.137.000	214.588	7	0,00	398,61	0,00%	0,00%	""
RBFF11	Títulos e Val. Mob.	43,56	13,81%	13,89%	0,75	163.316.000	722.878	0	0,00	0,00	0,00%	0,00%	""
RBGS11	Shoppings	28,45	3,30%	0,00%	0,31	30.669.100	0	1	1.051,57	52,68	5,01%	11,94%	""
RBHG11	Títulos e Val. Mob.	63,32	13,12%	16,70%	0,73	137.275.000	437.553	0	0,00	0,00	0,00%	0,00%	""
RBHY11	Títulos e Val. Mob.	76,79	12,32%	15,63%	0,83	145.402.000	233.251	0	0,00	0,00	0,00%	0,00%	""
RBIR11	Residencial	76,00	-0,49%	5,43%	0,79	116.175.000	103.615	0	0,00	0,00	0,00%	0,00%	""
RBIV11	Títulos e Val. Mob.	83,70	9,92%	0,00%	0,97	181.458.000	0	0	0,00	0,00	0,00%	0,00%	""
RBLG11	Logística	53,60	18,35%	15,76%	0,78	34.314.700	4.456	1	324,03	31,37	9,68%	0,00%	""
RBOP11	Outros	219,99	15,83%	12,44%	0,32	22.365.100	31.068	2	1.241,31	128,64	10,36%	81,98%	""
RBRD11	Híbrido	35,41	11,63%	6,80%	0,56	65.571.700	53.061	4	2.386,86	362,99	15,21%	27,96%	""
RBRF11	Títulos e Val. Mob.	6,23	10,72%	12,84%	0,76	852.312.000	2.655.240	0	0,00	0,00	0,00%	0,00%	""
RBRI11	Híbrido	910,00	16,48%	18,98%	0,90	127.095.000	1.390	0	0,00	0,00	0,00%	0,00%	""
RBRL11	Logística	61,00	12,51%	13,56%	0,59	407.909.000	386.811	5	1.598,98	256,88	16,07%	0,00%	""
RBRM11	Títulos e Val. Mob.	160.000,00	-8,41%	0,00%	8,16	86.240.000	0	0	0,00	0,00	0,00%	0,00%	""
RBRP11	Outros	42,58	6,87%	14,52%	0,56	518.590.000	1.304.530	6	8.349,11	678,69	8,13%	0,00%	""
RBRR11	Títulos e Val. Mob.	75,25	10,78%	13,25%	0,85	1.133.050.000	2.677.270	0	0,00	0,00	0,00%	0,00%	""
RBRS11	Híbrido	34,45	-0,71%	0,20%	0,36	59.746.600	25.886	3	5.631,30	430,82	7,65%	28,34%	""
RBRX11	Títulos e Val. Mob.	6,90	9,40%	15,90%	0,73	203.334.000	574.169	1	7.715.400,00	0,00	0,00%	0,00%	""
RBRY11	Títulos e Val. Mob.	84,01	10,95%	13,69%	0,90	1.072.770.000	3.056.140	0	0,00	0,00	0,00%	0,00%	""
RBTS11	Outros	395,50	-4,06%	5,88%	0,83	22.355.600	2.172	0	0,00	0,00	0,00%	0,00%	""
RBVA11	Outros	78,50	9,25%	13,41%	0,73	1.225.720.000	1.713.000	72	6.439,80	741,05	11,51%	5,39%	""
RBVO11	Lajes Corporativas	5,33	0,00%	100,00%	0,00	0	2.525	0	0,00	0,00	0,00%	0,00%	""
RCFF11	Títulos e Val. Mob.	106,00	1,87%	19,24%	1,07	34.259.200	139	0	0,00	0,00	0,00%	0,00%	""
RCRB11	Lajes Corporativas	116,00	4,63%	9,82%	0,58	428.121.000	576.448	9	11.019,60	1.142,82	10,37%	1,77%	""
RCRI11B	Híbrido	1.200,00	4,39%	0,00%	1,16	61.214.400	0	0	0,00	0,00	0,00%	0,00%	""
RDES11	Híbrido	58,00	2,45%	0,00%	0,81	43.036.000	0	3	3.070,54	434,94	14,16%	47,02%	""
RDPD11	Títulos e Val. Mob.	22,96	3,77%	0,00%	2,27	172.391.000	0	0	0,00	0,00	0,00%	0,00%	""
RECR11	Títulos e Val. Mob.	72,10	14,47%	14,91%	0,80	1.906.440.000	2.635.650	1	37.102,00	0,00	0,00%	100,02%	""
RECT11	Híbrido	27,32	17,24%	16,04%	0,30	233.408.000	257.682	9	3.072,37	784,88	25,55%	10,76%	""
RECX11	Títulos e Val. Mob.	67,99	10,80%	5,53%	0,94	14.843.100	0	0	0,00	0,00	0,00%	0,00%	""
REIT11	Títulos e Val. Mob.	99,07	9,26%	8,73%	0,35	2.604.650	24	0	0,00	0,00	0,00%	0,00%	""
RELG11	Híbrido	58,77	4,51%	3,97%	0,46	78.432.200	287.127	5	1.098,48	180,70	16,45%	10,00%	""
RFOF11	Títulos e Val. Mob.	61,25	10,61%	13,76%	0,90	66.037.500	529.055	0	0,00	0,00	0,00%	0,00%	""
RINV11	Títulos e Val. Mob.	93,61	3,76%	13,41%	0,99	306.997.000	403.522	0	0,00	0,00	0,00%	0,00%	""
RMAI11	Híbrido	79,27	1,86%	7,02%	0,75	193.720.000	315.661	2	4.622,62	246,27	5,33%	18,27%	""
RNDP11	Títulos e Val. Mob.	38,87	-3,60%	75,25%	0,79	4.177.790	12.089	0	0,00	0,00	0,00%	0,00%	""
RNGO11	Lajes Corporativas	42,01	10,95%	10,76%	0,50	112.419.000	50.750	4	1.962,91	297,91	15,18%	14,63%	""
ROOF11	Outros	727,20	-7,69%	0,00%	1,39	56.354.400	0	58	2.899,99	11,15	0,38%	0,00%	""
RPRI11	Títulos e Val. Mob.	77,83	12,76%	15,30%	0,80	270.205.000	501.426	0	0,00	0,00	0,00%	0,00%	""
RRCI11	Títulos e Val. Mob.	69,00	14,24%	14,64%	0,77	33.241.200	55.374	0	0,00	0,00	0,00%	0,00%	""
RSPD11	Residencial	989,99	-1,51%	5,62%	0,93	147.519.000	17.613	0	0,00	0,00	0,00%	0,00%	""
RURA11	Títulos e Val. Mob.	6,94	15,65%	15,48%	0,68	1.111.090.000	3.079.910	0	0,00	0,00	0,00%	0,00%	""
RVBI11	Títulos e Val. Mob.	60,27	8,84%	14,77%	0,82	619.335.000	1.283.610	0	0,00	0,00	0,00%	0,00%	""
RZAG11	Títulos e Val. Mob.	7,87	23,04%	16,29%	0,82	535.478.000	1.674.580	0	0,00	0,00	0,00%	0,00%	""
RZAK11	Títulos e Val. Mob.	76,59	16,00%	17,18%	0,89	674.596.000	1.799.660	0	0,00	0,00	0,00%	0,00%	""
RZAT11	Híbrido	78,92	-67,90%	15,84%	0,79	334.230.000	893.156	11	1.351,71	130,14	9,63%	0,00%	""
RZDM11	Híbrido	550,16	19,74%	0,00%	4,15	88.025.600	0	4	61.028,80	0,00	0,00%	0,00%	""
RZEO11	Outros	242,54	12,31%	27,17%	1,09	764.710.000	0	0	0,00	0,00	20,92%	0,00%	""
RZTR11	Títulos e Val. Mob.	80,19	20,14%	14,00%	0,82	1.511.720.000	4.635.080	17	2,24	0,31	13,90%	24,40%	""
RZZR11	Outros	141,50	7,16%	2,43%	0,86	692.963.000	11.438	8	1.616,01	119,44	7,39%	0,00%	""
SADI11	Títulos e Val. Mob.	8,11	13,81%	13,12%	0,86	125.598.000	190.615	0	0,00	0,00	0,00%	0,00%	""
SAIC11	Lajes Corporativas	34,01	-2,88%	0,00%	0,60	48.625.500	1	1	4.373,58	54,98	1,26%	100,00%	""
SAPI11	Títulos e Val. Mob.	7,34	13,61%	14,23%	0,76	113.306.000	370.884	0	0,00	0,00	0,00%	0,00%	""
SARE11	Híbrido	3,64	11,32%	8,70%	0,47	336.130.000	718.584	3	1.895,67	268,46	14,16%	0,00%	""
SCPF11	Híbrido	1,91	4,39%	2,33%	0,18	8.022.000	1.513	1	1.687,42	680,97	40,36%	32,26%	""
