PAPEL	COTAÇÃO	P/L	P/VP	PSR	DIV.YIELD	P/ATIVO	P/CAP.GIRO	P/EBIT	P/ATIV CIRC.LIQ	EV/EBIT	EV/EBITDA	MRG EBIT	MRG. LÍQ.	LIQ. CORR.	ROIC	ROE	LIQ.2MESES	PATRIM. LÍQ	DÍV.LÍQ/ PATRIM.	CRESC. REC.5A	DÍVIDA LÍQUIDA/EBITDA	VALOR DE MERCADO
CRPG3	21,15	-5,40	1,03	0,929	1,32%	0,707	1,58	-16,50	2,25	-11,94	-57,13	-5,63%	-17,20%	3,44	-6,17%	-19,13%	0	594.296.000	0,02	-6,88%	21,79	613.752.000
RCSL3	2,90	-5,02	-5,28	4,648	0,00%	1,969	-10,95	-27,76	-1,86	-27,76	-43,18	-16,74%	-99,32%	0,64	-7,48%	105,13%	5.208.990	-17.471.000	0,00	-7,43%	0,00	92.283.800
TLCP3	48,00	-5,02	1,76	0,824	0,00%	0,533	-2,76	-26,61	-1,33	-43,86	-43,86	-3,10%	-16,40%	0,61	-2,52%	-35,04%	0	262.979.000	1,21	9,09%	-17,25	462.912.000
MEAL3	1,32	-4,96	0,36	0,170	0,00%	0,135	-2,72	-3,61	-0,30	-7,07	5,01	-4,70%	-3,43%	0,78	-4,43%	-7,33%	508.785	1.041.300.000	0,56	16,16%	2,45	378.008.000
LFFE4	3,89	-4,91	4,08	0,000	0,00%	3,599	0,00	-26,50	0,00	-23,11	10,90	0,00%	0,00%	0,00	0,00%	-83,10%	0	51.892.000	0,00	0,00%	-1,60	211.538.000
PTBL3	3,54	-4,89	1,34	0,207	0,00%	0,149	-1,46	7,84	-0,25	24,86	6,41	2,65%	-4,24%	0,75	2,32%	-27,50%	1.409.540	371.103.000	3,14	14,12%	4,39	499.094.000
CGOS3	26,20	-4,85	1,89	0,509	0,00%	0,167	-0,83	-256,60	-0,25	-570,29	-570,29	-0,20%	-10,48%	0,54	-0,08%	-39,02%	0	453.387.000	2,48	8,97%	-313,69	858.836.000
CSNA3	9,48	-4,85	1,02	0,288	13,36%	0,121	0,86	2,33	-0,26	8,40	4,93	12,33%	-3,52%	1,58	7,42%	-21,12%	132.751.000	12.271.400.000	4,64	7,19%	3,56	12.571.400.000
CRPG5	18,98	-4,84	0,93	0,833	1,53%	0,634	1,42	-14,80	2,02	-10,25	-49,03	-5,63%	-17,20%	3,44	-6,17%	-19,13%	29.428	594.296.000	0,02	-6,88%	21,79	550.781.000
TCNO4	0,85	-4,82	-5,95	0,000	0,00%	0,024	-0,06	-2,04	-0,03	-14,27	-16,48	0,00%	0,00%	0,28	-1,59%	123,36%	0	-946.000	-35,76	-32,39%	-14,13	5.627.000
CRPG6	18,51	-4,72	0,90	0,813	1,50%	0,618	1,38	-14,44	1,97	-9,88	-47,28	-5,63%	-17,20%	3,44	-6,17%	-19,13%	4.742	594.296.000	0,02	-6,88%	21,79	537.142.000
AMOB3	0,26	-4,67	0,21	0,040	0,00%	0,055	0,25	2,23	-0,40	13,64	7,01	1,80%	-0,86%	1,59	3,51%	-4,58%	4.942.210	2.302.580.000	1,46	382,50%	5,86	492.519.000
PRML3	11,52	-4,41	1,98	18,612	0,00%	0,581	23,00	-30,33	-0,93	-63,15	1.640,31	-61,36%	-424,99%	2,02	-1,96%	-44,84%	0	2.192.720.000	2,18	32,85%	852,44	4.331.720.000
RPAD5	5,71	-4,19	0,51	0,000	10,83%	0,500	4,03	-218,01	4,27	-160,47	-160,47	0,00%	0,00%	11,31	-0,26%	-12,17%	1.625	949.142.000	0,00	0,00%	57,54	483.534.000
ADHM3	1,56	-4,09	-1,29	770,924	0,00%	105,126	-1,43	-5,69	-1,27	-5,69	-5,81	-13.548,50%	-18.860,60%	0,00	521,70%	31,47%	2.064	-19.776.000	0,00	43,48%	0,00	25.440.500
BUET4	18,49	-4,04	-0,72	1,451	0,00%	0,423	-0,50	-9,72	-0,29	-19,18	-30,83	-14,93%	-35,93%	0,11	-5,95%	17,79%	0	-124.674.000	-0,70	4,55%	-15,21	89.584.000
PMET5	0,65	-3,95	-0,16	4,518	0,00%	30,248	-0,22	89,99	-0,16	503,88	503,88	5,02%	-114,49%	0,01	38,97%	4,10%	0	-290.863.000	-0,74	37,74%	413,88	47.066.500
LFFE3	3,11	-3,92	3,26	0,000	0,00%	2,877	0,00	-21,18	0,00	-17,80	8,39	0,00%	0,00%	0,00	0,00%	-83,10%	0	51.892.000	0,00	0,00%	-1,60	169.122.000
KRSA3	8,85	-3,86	0,84	0,302	0,00%	0,143	1,01	2,58	-0,27	12,89	7,84	11,71%	-7,43%	2,00	6,43%	-21,79%	572.579	813.456.000	3,68	37,74%	6,28	684.413.000
MATD3	3,80	-3,81	0,89	0,579	2,22%	0,297	1,28	3,47	-0,93	5,48	4,24	16,71%	-14,55%	3,16	10,52%	-23,37%	2.170.770	1.448.430.000	0,98	28,97%	1,55	1.289.830.000
FBMC3	80,00	-3,78	-0,92	3,858	0,00%	1,384	-1,79	-2,85	-0,64	-3,31	-3,69	-135,59%	-101,97%	0,31	-64,70%	24,19%	0	-63.552.000	-0,15	-31,66%	-0,51	58.160.000
SUZB5	21,13	-3,78	0,83	0,563	0,00%	0,161	1,51	1,85	-0,29	7,35	4,49	30,47%	-14,86%	1,72	10,47%	-21,91%	0	32.284.300.000	3,14	8,92%	3,36	26.710.800.000
PDTC3	1,30	-3,71	0,85	0,346	3,54%	0,144	0,37	-521,77	-1,00	-1.518,45	12,97	-0,07%	-9,32%	2,26	-0,04%	-22,83%	46.926	121.931.000	2,93	12,82%	8,51	103.311.000
PTBL4	2,59	-3,58	0,98	0,152	0,00%	0,109	-1,07	5,73	-0,19	22,75	5,86	2,65%	-4,24%	0,75	2,32%	-27,50%	0	371.103.000	3,14	14,12%	4,39	365.156.000
TLCP4	34,11	-3,57	1,25	0,586	0,00%	0,379	-1,96	-18,91	-0,95	-36,16	-36,16	-3,10%	-16,40%	0,61	-2,52%	-35,04%	0	262.979.000	1,21	9,09%	-17,25	328.957.000
MGEL3	25,00	-3,48	261,45	0,153	0,00%	0,196	1,15	2,22	-0,35	11,08	8,34	6,88%	-4,39%	1,64	10,21%	-7.518,08%	0	553.000	1.144,78	12,46%	6,67	144.580.000
TRAD3	7,32	-3,42	1,48	6,656	0,00%	1,351	5,73	-5,67	6,22	-5,06	-6,59	-117,43%	-197,15%	4,21	-28,32%	-43,16%	257.613	198.545.000	0,01	-23,06%	0,80	292.954.000
BECE3	9,10	-3,42	8,72	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-255,20%	0	96.496.000	0,00	12,81%	""	841.468.000
FIEI3	8,99	-3,29	0,29	14,653	0,00%	0,218	3,73	-4,24	-4,27	-6,02	-6,40	-345,83%	-457,60%	1,46	-5,38%	-8,71%	3.569	76.045.000	0,12	-23,79%	-1,90	21.773.800
BECE4	8,75	-3,29	8,38	0,000	0,00%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-255,20%	0	96.496.000	0,00	12,81%	""	809.104.000
DMFN3	12,50	-3,23	1,43	0,000	0,04%	0,000	0,00	0,00	0,00	0,00	0,00	0,00%	0,00%	0,00	0,00%	-44,24%	0	539.785.000	0,00	71,03%	""	772.425.000
SUZB6	17,88	-3,20	0,70	0,477	0,00%	0,136	1,28	1,56	-0,25	7,07	4,31	30,47%	-14,86%	1,72	10,47%	-21,91%	0	32.284.300.000	3,14	8,92%	3,36	22.602.400.000
MLAS3	1,25	-3,19	0,35	0,303	0,00%	0,193	0,50	-5,67	0,83	-5,13	-7,80	-5,34%	-9,48%	2,31	-5,25%	-11,11%	1.523.630	2.891.750.000	0,22	-1,32%	0,81	1.025.670.000
CEED4	20,00	-3,11	-0,38	0,256	0,00%	0,166	4,14	2,52	-0,15	11,43	8,84	10,13%	-8,22%	1,15	8,03%	12,13%	0	-3.618.330.000	-1,58	8,51%	6,89	1.365.100.000
DOTZ3	3,75	-3,02	-0,20	0,323	0,00%	0,256	-0,23	4.151,22	-0,13	7.545,14	3,06	0,01%	-10,70%	0,24	0,01%	6,69%	44.668	-246.421.000	-0,28	8,01%	1,38	49.814.700
RPAD6	4,00	-2,93	0,36	0,000	0,00%	0,350	2,83	-152,72	2,99	-95,18	-95,18	0,00%	0,00%	11,31	-0,26%	-12,17%	1.020	949.142.000	0,00	0,00%	57,54	338.728.000
PNOR5	1,87	-2,90	0,55	0,354	0,00%	0,205	0,70	8,52	-2,32	4,57	4,57	4,15%	-11,74%	2,50	3,61%	-18,84%	0	158.071.000	0,42	1,34%	-3,95	86.210.700
PNOR6	1,87	-2,90	0,55	0,354	0,00%	0,205	0,70	8,52	-2,32	4,57	4,57	4,15%	-11,74%	2,50	3,61%	-18,84%	0	158.071.000	0,42	1,34%	-3,95	86.210.700
STRP4	0,21	-2,85	-0,43	0,416	0,00%	0,111	-0,18	-0,45	-0,09	-1,15	-1,15	-91,82%	-14,58%	0,13	-25,49%	14,95%	0	-12.498.000	-0,66	-36,39%	-0,69	5.332.240
SOMA3	5,94	-2,81	0,80	0,867	0,00%	0,486	2,01	7,45	19,87	9,24	6,13	11,63%	-30,81%	2,36	7,81%	-28,52%	0	5.809.620.000	0,33	58,94%	1,19	4.661.400.000
HBSA3	2,29	-2,80	1,84	1,288	0,00%	0,243	-2,55	-5,85	-0,39	-19,50	48,07	-22,02%	-45,97%	0,71	-5,01%	-65,57%	8.986.580	948.075.000	5,40	3,97%	33,66	1.741.280.000
